"weapons/de_shot1.wav" "bts_rc/weapons/desert_eagle_sup.wav"
"otis/ot_attack.wav" "bts_rc/weapons/desert_eagle_sup.wav"
"weapons/pl_gun3.wav"  "weapons/pl_gun1.wav"

"fgrunt/gr_pain1.wav"  "bts_rc/null.wav"
"fgrunt/gr_pain2.wav"  "bts_rc/null.wav"
"fgrunt/gr_pain3.wav"  "bts_rc/null.wav"
"fgrunt/gr_pain4.wav"  "bts_rc/null.wav"
"fgrunt/gr_pain5.wav"  "bts_rc/null.wav"
"fgrunt/gr_pain6.wav"  "bts_rc/null.wav"

"fgrunt/death1.wav"  "bts_rc/gr_die1.wav"
"fgrunt/death2.wav"  "bts_rc/gr_die1.wav"
"fgrunt/death3.wav"  "bts_rc/gr_die2.wav"
"fgrunt/death4.wav"  "bts_rc/gr_die3.wav"
"fgrunt/death5.wav"  "bts_rc/gr_die2.wav"
"fgrunt/death6.wav"  "bts_rc/gr_die3.wav"

"!MG_HEAL0"		"bts_rc/ops/ops_med_sting.wav"
"!MG_HEAL1" 		"bts_rc/ops/ops_med_onepiece.wav"
"!MG_HEAL2" 		"bts_rc/ops/ops_med_fwound.wav"

"!FG_QUESTION0" 		"bts_rc/null.wav"
"!FG_QUESTION1" 		"bts_rc/null.wav"
"!FG_QUESTION2" 		"bts_rc/null.wav"
"!FG_QUESTION3" 		"bts_rc/null.wav"
"!FG_QUESTION4" 		"bts_rc/null.wav"
"!FG_QUESTION5" 		"bts_rc/null.wav"

"!FG_QUEST0" 		"bts_rc/null.wav"
"!FG_QUEST1" 		"bts_rc/null.wav"

"!FG_ANSWER0" 		"bts_rc/null.wav"
"!FG_ANSWER1" 		"bts_rc/null.wav"
"!FG_ANSWER2" 		"bts_rc/null.wav"

"!FG_GREN0" 		"bts_rc/null.wav"
"!FG_GREN1" 		"bts_rc/null.wav"

"!FG_ALERT0" 		"bts_rc/null.wav"
"!FG_ALERT1" 		"bts_rc/null.wav"
"!FG_ALERT2" 		"bts_rc/null.wav"
"!FG_ALERT3" 		"bts_rc/null.wav"

"!FG_MONSTER0" 		"bts_rc/null.wav"
"!FG_MONSTER1" 		"bts_rc/null.wav"

"!FG_COVER0" 		"bts_rc/null.wav"
"!FG_COVER1" 		"bts_rc/null.wav"
"!FG_COVER2" 		"bts_rc/null.wav"

"!FG_CLEAR0" 		"bts_rc/null.wav"
"!FG_CLEAR1" 		"bts_rc/null.wav"

"!FG_THROW0" 		"bts_rc/null.wav"
"!FG_THROW1" 		"bts_rc/null.wav"

"!FG_CHARGE0" 		"bts_rc/null.wav"
